deviceId,absence,not_act,act,caution,fall
#01,0,843,664,20,0
#02,0,175,236,3,0
#03,0,275,1042,174,2
#04,0,613,2647,14,0
#05,0,650,2606,17,1
#06,0,784,2057,36,1
#07,0,429,3297,0,0
#08,0,436,2445,0,0
#09,0,386,1223,171,0
#10,0,751,1077,0,0
#11,0,708,961,10,0
#12,0,701,1963,16,3
#13,0,648,1545,7,0
#14,0,408,2181,51,1
#15,0,744,2262,138,4
#16,0,569,2309,109,6
#17,0,474,1765,66,1
#18,0,1224,1481,26,2
#19,0,660,1412,71,4
#20,0,511,2458,98,0
#21,0,523,2194,108,1
#22,0,772,1528,36,2
#23,0,532,2379,32,1
#24,0,854,1530,62,3
#25,0,655,1141,438,6
#26,0,95,1851,0,0
#27,0,80,89,1,0
#28,0,456,2918,55,0
#29,0,671,2153,60,1
